ID	Snooker	Name	Country	Latitude	Longitude	10' tables	12' tables	Address	Phone number	Website	POI id
1732	1	Enniskillen Snooker Hall	GBR	54.3446546	-7.6505376	0	9	Old Henry St, Enniskillen, Fermanagh BT74 7JX, United Kingdom	028 6632 5585	http://www.zodiacbingoenniskillen.co.uk/	ChIJ36WxDUBGXkgR4i7sEgXB_2E	
1733	1	Lisnaskea Snooker Hall	GBR	54.2542982	-7.4450283	0	8	Main St, Enniskillen BT92 0JD, United Kingdom	028 6772 1568	 	ChIJ9Z2Y7Is-XkgRzEazXCn2VCI	
1734	1	Fairgreen Snooker Club	GBR	54.4210378	-6.4473823	0	12	2A Shillington St, Portadown, Craigavon BT62 3PF, United Kingdom	028 3835 1190	 	ChIJD3vc4cXvYEgRsNPcOirv6pU	
1735	1	Crumlin Snooker Club	GBR	54.6204608	-6.213889	0	5	13 Main St, Crumlin BT29 4UP, United Kingdom	028 9445 3945	 	ChIJ9z5IhwEAYUgRW2kEAqWbdQI	
1736	1	West Heath Snooker Club	GBR	52.3945143	-1.9596456	0	10	Alvechurch Road Lightning Way, Birmingham Area, Birmingham B31 3PH, United Kingdom	0121 475 8437	http://www.westheathsnooker.com/	ChIJRZ1_mjG-cEgRqi9SZskIKw8	
1737	1	Tamworth Cue Sports Leisure Club	GBR	52.6358231	-1.6887517	0	13	32 Victoria Rd, Tamworth B79 7HS, United Kingdom	01827 57995	http://thecueball.co.uk/cuesports-clubs/west-midlands/819-tamworth-cue-sports-leisure-club.html	ChIJN90KiWKpcEgRP9Tk8XrUCQI	
1738	1	Strategy 147	GBR	53.9139511	-2.188815	0	1	13-15 Manchester Rd, Barnoldswick BB18 5NZ, United Kingdom	01282 816943	 	ChIJQw1oa96Ne0gR1AEwXD9f2iY	
1739	1	Alexandra Snooker Club	GBR	53.8365932	-2.2127458	0	8	5 Holme St, Nelson BB9 9SS, United Kingdom	01282 696837	 	ChIJW-tQl3KRe0gRGxvH0sxyTas	
1740	1	Frame 3 Snooker Club	GBR	53.5637238	-2.4432334	0	12	Unit 3 Swan Lane Mill, Higher Swan Lane, Bolton, Lancashire BL3 3BJ, United Kingdom	01204 653242	http://frame3.co.uk/	ChIJ50LMvrene0gRGJKGeA-QuXs	
1741	1	Central Snooker Club	GBR	53.5619063	-2.3308724	0	6	Abden St, Radcliffe, Manchester M26 3AT, United Kingdom	0161 723 1237	 	ChIJ8wHVrJile0gRYou1Q1Ek5eM	
1742	1	The Snooker Club	GBR	50.7150069	-1.9904758	0	12	Quay West Marina, 23 W Quay Rd, Poole BH15 1HX, United Kingdom	01202 777399	http://ambassadorsnooker.com/	ChIJ8SJ3EfCmc0gRUMVDJjDozTY	
1743	1	Martock Snooker Centre	GBR	50.9797849	-2.7662287	0	5	Stapleton Rd, Martock TA12 6HH, United Kingdom	01935 826122	http://martocksnooker.com/	ChIJJxYGNUsTckgRI2UUUGuCYfw	
1744	1	147 Snooker Centre	GBR	52.329352	-0.1834993	0	13	12-14 St. Benedicts Court, Huntingdon PE29 3PN, United Kingdom	01480 411641	 	ChIJxYJBJDDdd0gRHvQ3jyta4kE	
